,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,Banned,,19 Points,,T,,,18 Points,,T,,,17 Points,,T,,,16 Points,,T,,,15 Points,,T,,,14 Points,,T,,,13 Points,,T,,,12 Points,,T,,,11 Points,,T,,,10 Points,,T,,,9 Points,,T,,,8 Points,,T,,,7 Points,,T,,,6 Points,,T,,,5 Points,,T,,,4 Points,,T,,,3 Points,,T,,,2 Points,,T,,,1 Point,,T,
,,,Eternatus,,,,,,,,,,,,,,,,,,Palafin,-,-,,,Weavile,-,-,,,Pecharunt,-,-,,,Primarina,-,-,,,Kingambit,-,-,,,Necrozma,-,-,,,Mega Clefable,-,-,,,Iron Boulder,-,-,,,Hisuian Zoroark,-,-,,,Mamoswine,-,-,,,Gyarados,-,-,,,Dondozo,-,-,,,Dhelmise,6,-,,,Drampa,3,-,,,Cacturne,3,-,,,Alolan Grimer,1,-
,,,Flutter Mane,,,,,,,,,,,,,,,,,,Roaring Moon,-,-,,,,,,,,Rotom-Wash,-,-,,,Raging Bolt,-,-,,,Mega Excadrill,-,-,,,Nidoking,-,-,,,Mesprit,10,-,,,Klefki,-,-,,,Hoopa-Unbound,-,-,,,Mega Chandelure,-,-,,,Iron Jugulis,10,-,,,Dracozolt,-,-,,,Drifblim,6,-,,,Drednaw,-,-,,,Carbink,3,-,,,Alolan Meowth,1,-
,,,Genesect,,,,,,,,,,,,,,,,,,Zapdos,-,-,,,,,,,,Urshifu,-,-,,,Scizor,-,-,,,Mega Feraligatr,-,-,,,Nidoqueen,-,-,,,Rotom-Heat,-,-,,,Mega Chimecho,-,-,,,Infernape,-,-,,,Mega Falinks,-,-,,,Kleavor,8,-,,,Drapion,6,-,,,Druddigon,5,-,,,Durant,4,-,,,Chimecho,4,-,,,Alolan Raticate,1,-
,,,Giratina,,,,,,,,,,,,,,,,,,Zeraora,-,-,,,,,,,,,,,,,Slowbro,-,-,,,Mega Swampert,-,-,,,Ogerpon-Hearthflame,-,-,,,Scream Tail,-,-,,,Mega Eelektross,-,-,,,Kommo-o,-,-,,,Mega Meowstic,-,-,,,Mega Chesnaught,-,-,,,Dudunsparce,10,-,,,Feraligatr,10,-,,,Dusclops,4,-,,,Claydol,4,-,,,Alolan Rattata,1,-
,,,Giratina-Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapu Fini,-,-,,,Metagross,-,-,,,Rillaboom,-,-,,,Slowking,-,-,,,Mega Gyarados,-,-,,,Lycanroc-Dusk,-,-,,,Mega Pidgeot,-,-,,,Mega Crabominable,-,-,,,Dugtrio,-,-,,,Gastrodon,7,-,,,Dusknoir,3,-,,,Coalossal,5,-,,,Alolan Sandshrew,1,-
,,,Gmax-Alcremie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapu Lele,-,-,,,Nihilego,-,-,,,Salamence,-,-,,,Ursaluna,-,-,,,Mega Hawlucha,-,-,,,Mega Altaria,-,-,,,Mega Pinsir,-,-,,,Mega Scrafty,-,-,,,Eelektross,6,-,,,Gigalith,5,-,,,Eldegoss,3,-,,,Copperajah,6,-,,,Alolan Vulpix,1,-
,,,Gmax-Appletun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ogerpon-Cornerstone,-,-,,,Swampert,-,-,,,Ursaluna-Bloodmoon,-,-,,,Mega Sharpedo,-,-,,,Mega Beedrill,-,-,,,Mega Pyroar,-,-,,,Mega Slowbro,-,-,,,Entei,-,-,,,Goodra,6,-,,,Emboar,5,-,,,Crawdaunt,6,-,,,Altaria,2,-
,,,Gmax-Blastoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ogerpon-Wellspring,-,-,,,Thundurus,-,-,,,Zarude,-,-,,,Mega Venusaur,-,-,,,Mega Heracross,-,-,,,Mega Sceptile,-,-,,,Mimikyu,8,-,,,Espathra,-,-,,,Grafaiai,6,-,,,Escavalier,5,-,,,Crustle,2,-,,,Amaura,1,-
,,,Gmax-Butterfree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quaquaval,-,-,,,Thundurus-T,-,-,,,,,,,,Milotic,10,-,,,Mega Kangaskhan,-,-,,,Mienshao,10,-,,,Obstagoon,8,-,,,Flygon,10,-,,,Hariyama,6,-,,,Espeon,8,-,,,Dewgong,2,-,,,Ampharos,1,-
,,,Gmax-Centiskorch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victini,-,-,,,Tinkaton,-,-,,,,,,,,Moltres,-,-,,,Mega Sableye,-,-,,,Noivern,-,-,,,Porygon2,8,-,,,Forretress,6,-,,,Hisuian Braviary,6,-,,,Farigiraf,5,-,,,Dunsparce,3,-,,,Anorith,1,-
,,,Gmax-Charizard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zygarde,-,-,,,Uxie,-,-,,,,,,,,Ogerpon,-,-,,,Mega Tyranitar,-,-,,,Registeel,10,-,,,Qwilfish,8,-,,,Gallade,10,-,,,Hitmonlee,6,-,,,Froslass,5,-,,,Duraludon,4,-,,,Appletun,3,-
,,,Gmax-Cinderace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volcarona,-,-,,,,,,,,Overqwil,10,-,,,Ninetales,8,-,,,Reuniclus,-,-,,,Revavroom,10,-,,,Garganacl,-,-,,,Incineroar,7,-,,,Galarian Slowbro,7,-,,,Eiscue,2,-,,,Applin,1,-
,,,Gmax-Coalossal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walking Wake,-,-,,,,,,,,Silvally,-,-,,,Okidogi,-,-,,,Serperior,-,-,,,Rhyperior,10,-,,,Gligar,6,-,,,Indeedee,7,-,,,Galvantula,5,-,,,Electivire,2,-,,,Arbok,1,-
,,,Gmax-Copperajah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinistcha,-,-,,,Pelipper,9,-,,,Slither Wing,-,-,,,Roserade,10,-,,,Granbull,6,-,,,Kilowattrel,8,-,,,Glastrier,8,-,,,Falinks,6,-,,,Archen,1,-
,,,Gmax-Corviknight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skarmory,-,-,,,Raikou,-,-,,,Talonflame,10,-,,,Salazzle,-,-,,,Heracross,10,-,,,Lanturn,5,-,,,Golurk,4,-,,,Flamigo,4,-,,,Arctibax,1,-
,,,Gmax-Drednaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starmie,-,-,,,Scolipede,-,-,,,Tapu Bulu,10,-,,,Sandy Shocks,-,-,,,Hippowdon,9,-,,,Lucario,10,-,,,Gourgeist,5,-,,,Flareon,3,-,,,Ariados,2,-
,,,Gmax-Duraludon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Togekiss,-,-,,,Sylveon,-,-,,,Terrakion,-,-,,,Seismitoad,8,-,,,Jellicent,7,-,,,Maushold,10,-,,,Guzzlord,5,-,,,Floatzel,4,-,,,Armaldo,2,-
,,,Gmax-Eevee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxapex,-,-,,,Tangrowth,-,-,,,Volcanion,-,-,,,Shaymin,10,-,,,Lokix,9,-,,,Mega Banette,-,-,,,Hisuian Decidueye,5,-,,,Galarian Articuno,6,-,,,Aron,1,-
,,,Gmax-Flapple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyranitar,-,-,,,Tentacruel,-,-,,,Whimsicott,10,-,,,Skeledirge,-,-,,,Magnezone,7,-,,,Mega Drampa,-,-,,,Hisuian Electrode,6,-,,,Galarian Stunfisk,2,-,,,Arrokuda,1,-
,,,Gmax-Garbodor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torkoal,10,-,,,,,,,,Steelix,8,-,,,Mega Aggron,-,-,,,Mega Emboar,-,-,,,Hisuian Typhlosion,5,-,,,Garbodor,2,-,,,Aurorus,1,-
,,,Gmax-Gengar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suicune,-,-,,,Mega Barbaracle,-,-,,,Mega Golurk,-,-,,,Hitmonchan,4,-,,,Girafarig,3,-,,,Axew,1,-
,,,Gmax-Grimmsnarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaporeon,10,-,,,Mega Scolipede,-,-,,,Mega Houndoom,-,-,,,Hitmontop,4,-,,,Gurdurr,5,-,,,Azurill,1,-
,,,Gmax-Hatterene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xurkitree,-,-,,,Meloetta,7,-,,,Mega Scovillain,-,-,,,Inteleon,8,-,,,Heliolisk,3,-,,,Bagon,1,-
,,,Gmax-Inteleon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mismagius,9,-,,,Miltank,5,-,,,Iron Leaves,8,-,,,Hoopa,4,-,,,Baltoy,1,-
,,,Gmax-Kingler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paldean Tauros-Aqua,6,-,,,Munkidori,7,-,,,Iron Thorns,6,-,,,Houndstone,4,-,,,Banette,2,-
,,,Gmax-Lapras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paldean Tauros-Blaze,6,-,,,Oricorio,8,-,,,Jolteon,9,-,,,Kabutops,5,-,,,Barbaracle,-,-
,,,Gmax-Machamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pangoro,6,-,,,Politoed,5,-,,,Kangaskhan,4,-,,,Leafeon,4,-,,,Barboach,1,-
,,,Gmax-Melmetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pawmot,8,-,,,Polteageist,-,-,,,Kingdra,6,-,,,Leavanny,3,-,,,Basculin,3,-
,,,Gmax-Meowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porygon-Z,10,-,,,Quagsire,6,-,,,Lickilicky,6,-,,,Ludicolo,4,-,,,Bastiodon,3,-
,,,Gmax-Orbeetle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regieleki,-,-,,,Regidrago,-,-,,,Mega Glalie,-,-,,,Lurantis,4,-,,,Bayleef,1,-
,,,Gmax-Pikachu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribombee,10,-,,,Slurpuff,8,-,,,Mega Manectric,-,-,,,Lycanroc-Midday,6,-,,,Beartic,2,-
,,,Gmax-Rillaboom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotom,6,-,,,Stakataka,10,-,,,Mega Steelix,-,-,,,Mabosstiff,5,-,,,Beautifly,1,-
,,,Gmax-Sandaconda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotom-Mow,8,-,,,Swellow,10,-,,,Mega Victreebel,-,-,,,Machamp,3,-,,,Beedrill,1,-
,,,Gmax-Snorlax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sableye,6,-,,,Tangela,7,-,,,Meowstic,3,-,,,Magmortar,5,-,,,Beheeyem,2,-
,,,Gmax-Toxtricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scrafty,7,-,,,Tornadus,10,-,,,Mudsdale,3,-,,,Malamar,5,-,,,Beldum,1,-
,,,Gmax-Urshifu Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snorlax,-,-,,,Torterra,-,-,,,Muk,4,-,,,Mantine,3,-,,,Bellossom,2,-
,,,Gmax-Urshifu Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stunfisk,6,-,,,Toxtricity,10,-,,,Piloswine,4,-,,,Medicham,3,-,,,Bellsprout,1,-
,,,Gmax-Venusaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsareena,7,-,,,Tyrantrum,8,-,,,Roselia,4,-,,,Mega Abomasnow,-,-,,,Bergmite,1,-
,,,Groudon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Umbreon,9,-,,,Vileplume,6,-,,,Rotom-Fan,6,-,,,Mega Absol,-,-,,,Bibarel,2,-
,,,Ho-Oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venusaur,10,-,,,Weezing,6,-,,,Rotom-Frost,6,-,,,Mega Ampharos,-,-,,,Bidoof,1,-
,,,Koraidon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zygarde-10%,-,-,,,Runerigus,5,-,,,Mega Audino,-,-,,,Binacle,1,-
,,,Kyogre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sceptile,6,-,,,Mega Camerupt,-,-,,,Blipbug,1,-
,,,Kyurem-Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharpedo,6,-,,,Mega Malamar,-,-,,,Blitzle,1,-
,,,Kyurem-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigilyph,6,-,,,Meganium,3,-,,,Boldore,1,-
,,,Lugia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skuntank,5,-,,,Minior,-,-,,,Boltund,2,-
,,,Lunala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smeargle,4,-,,,Mr. Rime,2,-,,,Bombirdier,2,-
,,,Magearna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sneasel,5,-,,,Omastar,7,-,,,Bonsly,1,-
,,,Marshadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiritomb,5,-,,,Orbeetle,3,-,,,Bounsweet,1,-
,,,Mega Absol Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staraptor,10,-,,,Orthworm,6,-,,,Braixen,1,-
,,,Mega Alakazam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatsugiri,5,-,,,Palossand,3,-,,,Bramblin,1,-
,,,Mega Baxcalibur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thwackey,6,-,,,Passimian,4,-,,,Brionne,1,-
,,,Mega Blaziken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toedscruel,5,-,,,Pincurchin,2,-,,,Bronzor,1,-
,,,Mega Darkrai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ursaring,5,-,,,Poliwrath,3,-,,,Bruxish,2,-
,,,Mega Garchomp Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venomoth,6,-,,,Primeape,5,-,,,Budew,1,-
,,,Mega Gengar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vikavolt,8,-,,,Probopass,3,-,,,Buizel,1,-
,,,Mega Golisopod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wo-Chien,-,-,,,Raichu,6,-,,,Bulbasaur,1,-
,,,Mega Heatran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yanmega,8,-,,,Regirock,4,-,,,Buneary,1,-
,,,Mega Latias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoroark,5,-,,,Shiftry,4,-,,,Bunnelby,1,-
,,,Mega Lucario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shuckle,2,-,,,Burmy,1,-
,,,Mega Lucario Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spidops,2,-,,,Butterfree,1,-
,,,Mega Magearna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tauros,4,-,,,Cacnea,1,-
,,,Mega Metagross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxicroak,5,-,,,Calyrex,1,-
,,,Mega Mewtwo X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevenant,4,-,,,Camerupt,2,-
,,,Mega Mewtwo Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turtonator,4,-,,,Capsakid,1,-
,,,Mega Raichu Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type: Null,2,-,,,Carkol,1,-
,,,Mega Rayquaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Typhlosion,5,-,,,Carnivine,1,-
,,,Mega Salamence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanilluxe,4,-,,,Carracosta,2,-
,,,Mega Starmie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veluza,6,-,,,Carvanha,1,-
,,,Mega Tatsugiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xatu,4,-,,,Cascoon,1,-
,,,Mega Zeraora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castform,1,-
